1.115,0.072,1.018,1.109,-0.269,0,7,0.331,6.735,0.471,0.615,0.818,0.0386,1.0836,0.61272,0.04553,0.071764,691.84,1,0,7.7842,0.23363,10.11,3.0281,0.16764,0
1.115,0.072,1.018,1.109,-0.269,0,7,1.331,6.735,0.471,0.615,0.818,0.0386,1.0579,0.28535,0.045888,0.072,705.23,1,0,7.7753,0.23231,7.3145,2.9875,0.16878,0
1.115,0.072,1.018,1.109,-0.269,0,7,3.331,6.735,0.471,0.615,0.818,0.0386,1.0389,0.37088,0.046366,0.072,698.2,1,0,7.7578,0.23196,7.3934,2.9954,0.1707,0
1.115,0.072,1.018,1.109,-0.269,0,7,1.331,8.735,0.471,0.615,0.818,0.0386,1.053,0.28584,0.04599,0.072,700.72,1,0,7.7461,0.23448,7.4637,3.0787,0.16977,0
1.115,0.072,1.018,1.109,-0.269,0,7,1.331,4.735,0.471,0.615,0.818,0.0386,1.0936,0.82855,0.045724,0.072,703.24,1,0,7.8048,0.22581,13.747,2.9666,0.16766,0
1.115,0.072,1.018,1.109,-0.269,0,7,2.331,6.735,0.471,0.615,0.818,0.0386,1.0525,0.31771,0.046133,0.072,703.44,1,0,7.7666,0.23214,7.3521,2.9787,0.16973,0
1.115,0.072,1.018,1.109,-0.269,0,7,1.331,7.735,0.471,0.615,0.818,0.0386,1.0555,0.2856,0.04594,0.072,701.88,1,0,7.7607,0.23339,7.3899,3.0446,0.16927,0
1.115,0.072,1.018,1.109,-0.269,0,7,0.331,6.735,0.471,0.615,0.818,0.0386,1.0836,0.61272,0.04553,0.071764,0.002306,1,1,7.7842,0.23363,10.11,3.0281,0.16764,0
1.115,0.072,1.018,1.109,-0.269,0,7,1.331,5.735,0.471,0.615,0.818,0.0386,1.0876,0.75847,0.045776,0.072,697.81,1,0,7.7902,0.228,12.562,2.9942,0.16808,0
1.115,0.072,1.018,1.109,0.231,0,7,1.331,6.735,0.471,0.615,0.818,0.0386,1.5874,0.3466,0.033964,0.060227,734.04,1,0,9.0301,0.19421,6.822,3.4129,0.20279,0.041534
1.115,0.072,1.018,1.109,-0.269,0,7,1.831,6.735,0.471,0.615,0.818,0.0386,1.0529,0.28925,0.046012,0.072,695.83,1,0,7.771,0.23222,7.3285,2.9875,0.16925,0
1.115,0.072,1.018,1.109,-0.269,0,7,1.331,7.235,0.471,0.615,0.818,0.0386,1.0567,0.28548,0.045914,0.072,700.4,1,0,7.768,0.23228,7.3545,3.0098,0.16902,0
1.115,0.072,1.018,1.109,-0.269,0,7,0.831,6.735,0.471,0.615,0.818,0.0386,1.0582,0.28537,0.045754,0.072,697.08,1,0,7.7796,0.23246,7.303,2.989,0.16831,0
1.115,0.072,1.018,1.109,-0.269,0,7,1.831,6.735,0.471,0.615,0.818,0.0386,1.0529,0.28925,0.046012,0.072,0.0015007,1,1,7.771,0.23222,7.3285,2.9875,0.16925,0
1.115,0.072,1.018,1.109,-0.269,0,7,0.831,7.735,0.471,0.615,0.818,0.0386,1.0595,0.28562,0.04581,0.072,704.2,1,0,7.765,0.23348,7.3824,3.0351,0.1688,0
1.115,0.072,1.018,1.109,-0.269,0,7,0.831,5.735,0.471,0.615,0.818,0.0386,1.0963,0.7224,0.045638,0.072,706.48,1,0,7.7946,0.22809,11.961,2.9983,0.16762,0
